X--Trace 1::[V(vi)],Y--Trace 1::[V(vi)],,X--Trace 2::[V(vo)],Y--Trace 2::[V(vo)],,,,
0.01682,0.01682,,0.01682,1.6823,,0.000300,,
0.01684,0.01684,,0.01684,1.6843,,0.000300,,
0.01686,0.01686,,0.01686,1.6863,,0.000300,,
0.01688,0.01688,,0.01688,1.6883,,0.000300,,
0.0169,0.0169,,0.0169,1.6903,,0.000300,,
0.01692,0.01692,,0.01692,1.6923,,0.000300,,
0.01694,0.01694,,0.01694,1.6943,,0.000300,,
0.01696,0.01696,,0.01696,1.6963,,0.000300,,
0.01698,0.01698,,0.01698,1.6983,,0.000300,,
0.017,0.017,,0.017,1.7003,,0.000300,,
0.01702,0.01702,,0.01702,1.7023,,0.000300,,
0.01704,0.01704,,0.01704,1.7043,,0.000300,,
0.01706,0.01706,,0.01706,1.7063,,0.000300,,
0.01708,0.01708,,0.01708,1.7083,,0.000300,,
0.0171,0.0171,,0.0171,1.7103,,0.000300,,
0.01712,0.01712,,0.01712,1.7123,,0.000300,,
0.01714,0.01714,,0.01714,1.7143,,0.000300,,
0.01716,0.01716,,0.01716,1.7163,,0.000300,,
0.01718,0.01718,,0.01718,1.7183,,0.000300,,
0.0172,0.0172,,0.0172,1.7203,,0.000300,,
0.01722,0.01722,,0.01722,1.7223,,0.000300,,
0.01724,0.01724,,0.01724,1.7243,,0.000300,,
0.01726,0.01726,,0.01726,1.7263,,0.000300,,
0.01728,0.01728,,0.01728,1.7283,,0.000300,,
0.0173,0.0173,,0.0173,1.7303,,0.000300,,
0.01732,0.01732,,0.01732,1.7323,,0.000300,,
0.01734,0.01734,,0.01734,1.7343,,0.000300,,
0.01736,0.01736,,0.01736,1.7363,,0.000300,,
0.01738,0.01738,,0.01738,1.7383,,0.000300,,
0.0174,0.0174,,0.0174,1.7403,,0.000300,,
0.01742,0.01742,,0.01742,1.7423,,0.000300,,
0.01744,0.01744,,0.01744,1.7443,,0.000300,,
0.01746,0.01746,,0.01746,1.7463,,0.000300,,
0.01748,0.01748,,0.01748,1.7483,,0.000300,,
0.0175,0.0175,,0.0175,1.7503,,0.000300,,
0.01752,0.01752,,0.01752,1.7523,,0.000300,,
0.01754,0.01754,,0.01754,1.7543,,0.000300,,
0.01756,0.01756,,0.01756,1.7563,,0.000300,,
0.01758,0.01758,,0.01758,1.7583,,0.000300,,
0.0176,0.0176,,0.0176,1.7603,,0.000300,,
0.01762,0.01762,,0.01762,1.76229,,0.000290,,
0.01764,0.01764,,0.01764,1.76429,,0.000290,,
0.01766,0.01766,,0.01766,1.76629,,0.000290,,
0.01768,0.01768,,0.01768,1.76829,,0.000290,,
0.0177,0.0177,,0.0177,1.77029,,0.000290,,
0.01772,0.01772,,0.01772,1.77229,,0.000290,,
0.01774,0.01774,,0.01774,1.77429,,0.000290,,
0.01776,0.01776,,0.01776,1.77629,,0.000290,,
0.01778,0.01778,,0.01778,1.77829,,0.000290,,
0.0178,0.0178,,0.0178,1.78029,,0.000290,,
0.01782,0.01782,,0.01782,1.78229,,0.000290,,
0.01784,0.01784,,0.01784,1.78429,,0.000290,,
0.01786,0.01786,,0.01786,1.78629,,0.000290,,
0.01788,0.01788,,0.01788,1.78829,,0.000290,,
0.0179,0.0179,,0.0179,1.79029,,0.000290,,
0.01792,0.01792,,0.01792,1.79229,,0.000290,,
0.01794,0.01794,,0.01794,1.79429,,0.000290,,
0.01796,0.01796,,0.01796,1.79629,,0.000290,,
0.01798,0.01798,,0.01798,1.79829,,0.000290,,
0.018,0.018,,0.018,1.80029,,0.000290,,
0.01802,0.01802,,0.01802,1.80229,,0.000290,,
0.01804,0.01804,,0.01804,1.80429,,0.000290,,
0.01806,0.01806,,0.01806,1.80629,,0.000290,,
0.01808,0.01808,,0.01808,1.80829,,0.000290,,
0.0181,0.0181,,0.0181,1.81029,,0.000290,,
0.01812,0.01812,,0.01812,1.81229,,0.000290,,
0.01814,0.01814,,0.01814,1.81429,,0.000290,,
0.01816,0.01816,,0.01816,1.81629,,0.000290,,
0.01818,0.01818,,0.01818,1.81829,,0.000290,,
0.0182,0.0182,,0.0182,1.82029,,0.000290,,
0.01822,0.01822,,0.01822,1.82229,,0.000290,,
0.01824,0.01824,,0.01824,1.82429,,0.000290,,
0.01826,0.01826,,0.01826,1.82629,,0.000290,,
0.01828,0.01828,,0.01828,1.82829,,0.000290,,
0.0183,0.0183,,0.0183,1.83029,,0.000290,,
0.01832,0.01832,,0.01832,1.83229,,0.000290,,
0.01834,0.01834,,0.01834,1.83429,,0.000290,,
0.01836,0.01836,,0.01836,1.83629,,0.000290,,
0.01838,0.01838,,0.01838,1.83829,,0.000290,,
0.0184,0.0184,,0.0184,1.84029,,0.000290,,
0.01842,0.01842,,0.01842,1.84229,,0.000290,,
0.01844,0.01844,,0.01844,1.84429,,0.000290,,
0.01846,0.01846,,0.01846,1.84629,,0.000290,,
0.01848,0.01848,,0.01848,1.84829,,0.000290,,
0.0185,0.0185,,0.0185,1.85029,,0.000290,,
0.01852,0.01852,,0.01852,1.85229,,0.000290,,
0.01854,0.01854,,0.01854,1.85429,,0.000290,,
0.01856,0.01856,,0.01856,1.85629,,0.000290,,
0.01858,0.01858,,0.01858,1.85829,,0.000290,,
0.0186,0.0186,,0.0186,1.86029,,0.000290,,
0.01862,0.01862,,0.01862,1.86229,,0.000290,,
0.01864,0.01864,,0.01864,1.86429,,0.000290,,
0.01866,0.01866,,0.01866,1.86629,,0.000290,,
0.01868,0.01868,,0.01868,1.86829,,0.000290,,
0.0187,0.0187,,0.0187,1.87029,,0.000290,,
0.01872,0.01872,,0.01872,1.87229,,0.000290,,
0.01874,0.01874,,0.01874,1.87429,,0.000290,,
0.01876,0.01876,,0.01876,1.87629,,0.000290,,
0.01878,0.01878,,0.01878,1.87829,,0.000290,,
0.0188,0.0188,,0.0188,1.88029,,0.000290,,
0.01882,0.01882,,0.01882,1.88229,,0.000290,,
0.01884,0.01884,,0.01884,1.88429,,0.000290,,
0.01886,0.01886,,0.01886,1.88629,,0.000290,,
0.01888,0.01888,,0.01888,1.88829,,0.000290,,
0.0189,0.0189,,0.0189,1.89029,,0.000290,,
0.01892,0.01892,,0.01892,1.89229,,0.000290,,
0.01894,0.01894,,0.01894,1.89429,,0.000290,,
0.01896,0.01896,,0.01896,1.89629,,0.000290,,
0.01898,0.01898,,0.01898,1.89829,,0.000290,,
0.019,0.019,,0.019,1.90029,,0.000290,,
0.01902,0.01902,,0.01902,1.90229,,0.000290,,
0.01904,0.01904,,0.01904,1.90429,,0.000290,,
0.01906,0.01906,,0.01906,1.90629,,0.000290,,
0.01908,0.01908,,0.01908,1.90829,,0.000290,,
0.0191,0.0191,,0.0191,1.91029,,0.000290,,
0.01912,0.01912,,0.01912,1.91229,,0.000290,,
0.01914,0.01914,,0.01914,1.91429,,0.000290,,
0.01916,0.01916,,0.01916,1.91629,,0.000290,,
0.01918,0.01918,,0.01918,1.91829,,0.000290,,
0.0192,0.0192,,0.0192,1.92029,,0.000290,,
0.01922,0.01922,,0.01922,1.92229,,0.000290,,
0.01924,0.01924,,0.01924,1.92429,,0.000290,,
0.01926,0.01926,,0.01926,1.92629,,0.000290,,
0.01928,0.01928,,0.01928,1.92829,,0.000290,,
0.0193,0.0193,,0.0193,1.93029,,0.000290,,
0.01932,0.01932,,0.01932,1.93229,,0.000290,,
0.01934,0.01934,,0.01934,1.93429,,0.000290,,
0.01936,0.01936,,0.01936,1.93629,,0.000290,,
0.01938,0.01938,,0.01938,1.93829,,0.000290,,
0.0194,0.0194,,0.0194,1.94029,,0.000290,,
0.01942,0.01942,,0.01942,1.94229,,0.000290,,
0.01944,0.01944,,0.01944,1.94429,,0.000290,,
0.01946,0.01946,,0.01946,1.94629,,0.000290,,
